126.0.0.0/8 V4CUST0000000.0
126.0.0.0/9 V4CUST0000000.1
126.104.0.0/14 V4CUST0000009.3
126.105.0.0/18 V4CUST0000010.4
126.105.18.0/23 V4CUST0000013.5
126.105.32.0/23 V4CUST0000011.5
126.105.32.216/29 V4CUST0000012.6
126.107.128.0/18 V4CUST0000014.4
126.107.184.0/23 V4CUST0000015.5
126.64.0.0/11 V4CUST0000001.2
126.68.0.0/14 V4CUST0000003.3
126.70.192.0/18 V4CUST0000004.4
126.70.196.0/23 V4CUST0000006.5
126.70.244.0/23 V4CUST0000005.5
126.70.64.0/18 V4CUST0000007.4
126.72.0.0/14 V4CUST0000002.3
126.96.0.0/11 V4CUST0000008.2
144.0.0.0/4 V4CUST0000001.0
144.0.0.0/5 V4CUST0000016.1
144.0.0.0/7 V4CUST0000030.2
144.128.0.0/10 V4CUST0000032.3
144.188.0.0/14 V4CUST0000033.4
144.190.32.0/19 V4CUST0000034.5
145.0.0.0/10 V4CUST0000031.3
150.0.0.0/7 V4CUST0000017.2
151.128.0.0/10 V4CUST0000018.3
151.144.0.0/14 V4CUST0000019.4
151.146.160.0/19 V4CUST0000023.5
151.147.32.0/19 V4CUST0000020.5
151.147.39.0/25 V4CUST0000021.6
151.147.50.0/25 V4CUST0000022.6
151.180.0.0/14 V4CUST0000024.4
151.181.192.0/19 V4CUST0000026.5
151.182.96.0/19 V4CUST0000027.5
151.183.64.0/19 V4CUST0000025.5
151.184.0.0/14 V4CUST0000028.4
151.184.160.0/19 V4CUST0000029.5
246.0.0.0/7 V4CUST0000002.0
246.0.0.0/8 V4CUST0000035.1
246.128.0.0/10 V4CUST0000046.2
246.136.0.0/13 V4CUST0000047.3
246.140.128.0/17 V4CUST0000052.4
246.142.0.0/17 V4CUST0000048.4
246.142.28.0/22 V4CUST0000049.5
246.142.30.32/28 V4CUST0000051.6
246.142.31.16/28 V4CUST0000050.6
246.184.0.0/13 V4CUST0000053.3
246.184.128.0/17 V4CUST0000054.4
246.184.188.0/22 V4CUST0000055.5
246.184.216.0/22 V4CUST0000056.5
246.191.128.0/17 V4CUST0000057.4
246.191.136.0/22 V4CUST0000058.5
246.192.0.0/10 V4CUST0000036.2
246.200.0.0/13 V4CUST0000039.3
246.202.0.0/17 V4CUST0000043.4
246.202.100.0/22 V4CUST0000045.5
246.202.76.0/22 V4CUST0000044.5
246.206.128.0/17 V4CUST0000040.4
246.206.148.0/22 V4CUST0000042.5
246.206.224.0/22 V4CUST0000041.5
246.240.0.0/13 V4CUST0000037.3
246.243.0.0/17 V4CUST0000038.4
279F:A800:0:0:0:0:0:0/23 V6CUST0000004.0
279F:A800:0:0:0:0:0:0/24 V6CUST0000086.1
279F:A800:0:0:0:0:0:0/26 V6CUST0000099.2
279F:A800:0:0:0:0:0:0/29 V6CUST0000100.3
279F:A807:0:0:0:0:0:0/33 V6CUST0000101.4
279F:A807:7800:0:0:0:0:0/38 V6CUST0000102.5
279F:A807:79B0:0:0:0:0:0/44 V6CUST0000103.6
279F:A818:0:0:0:0:0:0/29 V6CUST0000104.3
279F:A818:8000:0:0:0:0:0/33 V6CUST0000105.4
279F:A880:0:0:0:0:0:0/26 V6CUST0000087.2
279F:A8A8:0:0:0:0:0:0/29 V6CUST0000088.3
279F:A8B8:0:0:0:0:0:0/29 V6CUST0000089.3
279F:A8BB:0:0:0:0:0:0/33 V6CUST0000090.4
279F:A8BB:3400:0:0:0:0:0/38 V6CUST0000091.5
279F:A8BB:6400:0:0:0:0:0/38 V6CUST0000098.5
279F:A8BB:800:0:0:0:0:0/38 V6CUST0000092.5
279F:A8BB:BC0:0:0:0:0:0/44 V6CUST0000093.6
279F:A8BB:BC2:C000:0:0:0:0/51 V6CUST0000094.7
279F:A8BB:BC2:CCE0:0:0:0:0/59 V6CUST0000095.8
279F:A8BB:BC5:8000:0:0:0:0/51 V6CUST0000096.7
279F:A8BB:BC8:6000:0:0:0:0/51 V6CUST0000097.7
